"CONFIG_CHARGER_TWL4030_MODULE","CONFIG_IRQ_RELEASE_METHOD","CONFIG_I2C_MODULE","CONFIG_OF_DYNAMIC","CONFIG_INPUT_TWL4030_PWRBUTTON_MODULE","CONFIG_TINY_PREEMPT_RCU","CONFIG_S390","CONFIG_SUSPEND","CONFIG_DEBUG_ATOMIC_SLEEP","CONFIG_TRACE_IRQFLAGS_SUPPORT","CONFIG_COMPACTION","CONFIG_TWL4030_CORE","CONFIG_MODULE_UNLOAD","CONFIG_TWL6040_CORE","CONFIG_GPIO_TWL4030_MODULE","CONFIG_IRQ_DOMAIN","CONFIG_GENERIC_BUG","CONFIG_SMP","CONFIG_SLAB","CONFIG_DEVTMPFS","CONFIG_DEBUG_MUTEXES","CONFIG_TWL6030_USB","CONFIG_TWL4030_USB","CONFIG_PM","CONFIG_PPC32","CONFIG_MFD_TWL4030_AUDIO_MODULE","CONFIG_KMEMCHECK","CONFIG_PREEMPT_TRACER","CONFIG_I2C","CONFIG_LBDAF","CONFIG_X86","CONFIG_REGULATOR","CONFIG_DYNAMIC_DEBUG","CONFIG_RING_BUFFER","CONFIG_FTRACE_MCOUNT_RECORD","CONFIG_HIBERNATE_CALLBACKS","CONFIG_PM_RUNTIME","CONFIG_HAVE_ARCH_MUTEX_CPU_RELAX","CONFIG_OF_IRQ","CONFIG_NUMA","CONFIG_ARCH_OMAP3","CONFIG_EVENT_TRACING","CONFIG_ARCH_OMAP4","CONFIG_TRACING","CONFIG_TWL4030_USB_MODULE","CONFIG_ARCH_OMAP2","CONFIG_PREEMPT_COUNT","CONFIG_HAVE_CLK_PREPARE","CONFIG_DEBUG_SET_MODULE_RONX","CONFIG_SPARC","CONFIG_ARCH_OMAP15XX","CONFIG_GPIO_TWL4030","CONFIG_LOCKDEP","CONFIG_RTC_DRV_TWL4030_MODULE","CONFIG_RTC_DRV_TWL4030","CONFIG_CHARGER_TWL4030","CONFIG_TWL4030_MADC","CONFIG_DEBUG_DEVRES","CONFIG_PRINTK","CONFIG_CONSTRUCTORS","CONFIG_TWL4030_WATCHDOG_MODULE","CONFIG_TWL6040_CORE_MODULE","CONFIG_PM_SLEEP","CONFIG_DEBUG_SLAB","CONFIG_ARCH_OMAP850","CONFIG_ARCH_OMAP730","CONFIG_KEYBOARD_TWL4030_MODULE","CONFIG_PROVE_LOCKING","CONFIG_INPUT_TWL4030_PWRBUTTON","CONFIG_IRQSOFF_TRACER","CONFIG_SYSFS_DEPRECATED","CONFIG_TWL6030_USB_MODULE","CONFIG_SLUB","CONFIG_GENERIC_HARDIRQS","CONFIG_PREEMPT_VOLUNTARY","CONFIG_RWSEM_GENERIC_SPINLOCK","CONFIG_REGULATOR_TWL4030_MODULE","CONFIG_DEBUG_OBJECTS","CONFIG_VIRT_CPU_ACCOUNTING","CONFIG_ARCH_OMAP16XX","CONFIG_TRACEPOINTS","CONFIG_PCI","CONFIG_I2C_BOARDINFO","CONFIG_TRACE_IRQFLAGS","CONFIG_OF_DEVICE","CONFIG_TWL4030_WATCHDOG","CONFIG_HOTPLUG","CONFIG_MFD_TWL4030_AUDIO","CONFIG_OF","CONFIG_I2C_COMPAT","CONFIG_UNUSED_SYMBOLS","CONFIG_IRQ_TIME_ACCOUNTING","CONFIG_REGULATOR_TWL4030","CONFIG_PPC_PMAC","CONFIG_KEYBOARD_TWL4030","CONFIG_SLOB","CONFIG_TWL4030_POWER","CONFIG_DEBUG_LOCK_ALLOC","CONFIG_SYSFS","CONFIG_GENERIC_PENDING_IRQ","CONFIG_TINY_RCU","CONFIG_FAILSLAB","CONFIG_KALLSYMS","CONFIG_TWL4030_MADC_MODULE","CONFIG_MODULES"
"false","true","false","true","true","false","true","true","true","true","false","false","true","true","true","true","false","true","false","false","false","false","true","false","true","true","false","false","false","true","false","false","true","true","false","true","false","false","true","false","true","false","false","false","false","false","false","true","false","true","true","false","true","false","false","true","true","true","true","false","false","false","true","true","true","true","false","false","false","true","false","true","true","false","false","false","false","false","true","false","false","true","false","true","true","true","true","false","false","false","true","false","false","true","false","true","false","true","true","true","false","false","true","false","true"
"true","true","true","true","true","false","true","true","false","false","false","true","true","false","false","true","true","false","false","true","false","true","false","true","true","true","false","true","false","false","true","true","true","false","false","false","true","true","false","false","true","true","true","true","true","false","false","false","false","true","true","true","true","true","false","true","false","false","true","true","true","false","true","false","true","true","true","true","false","false","false","false","false","false","false","true","false","false","true","false","false","false","false","false","true","false","false","true","false","false","false","false","false","false","true","false","true","false","true","true","false","false","true","true","false"
"false","false","false","false","true","true","true","false","true","false","true","false","true","true","true","true","true","false","false","true","true","true","false","false","false","false","true","true","false","true","true","true","false","true","false","true","false","true","false","true","true","true","false","true","false","true","false","false","false","false","false","true","false","false","false","false","true","true","false","true","false","false","true","true","false","true","true","true","false","false","true","true","true","false","false","false","true","false","false","true","true","false","true","false","false","false","false","false","false","true","true","true","false","true","false","false","false","false","false","false","true","false","true","false","true"
"false","true","true","false","false","false","true","false","true","true","true","false","false","true","true","false","true","true","false","true","false","true","false","true","true","false","false","true","false","true","true","false","false","false","true","true","false","true","false","false","true","false","false","false","true","false","false","true","true","false","true","false","true","true","true","false","false","false","true","true","true","true","false","true","false","true","true","true","true","false","false","false","false","false","true","true","true","false","true","true","false","true","true","true","false","false","false","false","false","false","false","false","false","true","false","true","true","false","false","true","false","true","true","true","false"
"true","false","false","true","true","true","false","false","false","false","false","false","false","true","true","false","true","true","false","false","true","false","true","false","false","true","true","true","false","true","false","false","true","false","false","true","true","true","true","false","false","false","true","true","false","true","true","true","false","false","false","true","true","true","true","true","true","false","false","true","true","true","false","true","false","true","false","false","true","true","true","true","true","false","true","false","false","false","false","true","false","true","true","true","true","false","false","false","true","false","true","true","true","false","true","true","true","false","false","false","false","false","false","true","false"
"false","true","false","false","true","true","true","false","false","true","true","true","true","true","true","false","false","true","false","false","true","false","true","true","false","true","true","false","false","false","false","false","false","false","true","false","false","true","false","true","false","false","true","false","true","true","false","false","false","true","true","true","false","false","false","true","false","true","false","false","false","true","true","true","true","false","false","true","true","true","true","false","false","true","true","false","true","false","true","true","false","false","false","true","true","false","false","true","true","false","false","true","true","false","false","false","false","true","false","true","true","true","false","true","true"
"false","true","true","false","true","false","true","false","true","true","false","true","false","false","true","false","true","true","false","false","true","true","false","true","false","true","true","true","false","false","true","true","false","true","false","false","true","false","true","false","false","false","true","true","false","false","true","false","true","false","false","true","true","true","false","true","true","false","true","true","true","true","false","true","false","false","false","false","false","false","true","false","false","true","false","false","false","true","true","false","false","true","false","false","false","false","true","true","false","false","false","true","false","false","true","true","false","false","false","true","true","false","false","false","true"
"true","false","true","true","false","false","true","true","false","false","false","false","false","false","true","true","true","true","true","false","true","true","false","false","true","false","false","true","false","false","true","true","true","false","false","false","true","false","false","false","false","true","false","false","false","false","false","true","true","true","true","false","false","true","true","true","true","true","false","false","true","true","false","true","true","false","false","true","false","true","true","true","true","false","false","false","true","true","true","false","false","false","true","true","true","false","false","false","true","true","false","true","false","false","false","false","false","false","true","true","false","true","true","true","true"
"true","true","false","false","false","true","false","false","true","false","true","false","false","true","false","false","false","true","true","false","true","false","true","true","false","true","false","false","true","true","true","true","true","true","true","true","false","true","false","true","false","false","true","true","false","false","true","true","false","true","true","true","true","true","false","false","true","false","true","true","true","false","false","true","true","false","false","false","false","true","false","false","false","false","true","true","false","false","false","false","true","true","false","false","false","false","false","false","false","false","true","false","false","true","true","false","true","false","true","true","false","true","true","true","true"
"true","true","false","true","false","false","true","false","false","false","false","true","true","false","false","true","true","true","true","false","true","true","false","false","false","true","true","true","true","true","false","true","true","true","true","false","false","true","false","false","true","false","true","false","false","false","false","false","false","false","true","true","true","true","true","false","false","false","false","true","false","true","true","false","false","false","false","true","true","true","false","true","true","false","true","true","false","true","true","false","true","false","true","false","false","false","true","true","true","true","true","false","true","true","false","true","false","true","false","true","false","false","true","true","false"
"true","false","false","true","false","false","false","true","true","true","false","true","false","true","false","false","false","true","false","false","true","true","false","true","false","true","false","true","false","false","true","false","false","true","true","true","false","false","true","true","true","true","true","true","false","true","false","true","false","false","false","true","false","false","true","true","false","false","true","true","true","true","true","false","true","false","true","true","false","true","false","false","true","false","true","false","false","true","true","true","true","true","false","false","true","true","false","true","true","false","true","false","true","false","true","true","true","true","false","true","true","false","false","true","true"
"false","true","false","true","true","false","false","false","false","true","true","false","false","false","true","false","true","true","false","false","true","true","true","true","false","false","false","true","true","false","false","true","false","false","true","true","false","true","true","true","false","false","true","false","false","true","false","true","false","true","true","false","true","false","true","true","false","true","true","true","true","true","true","true","true","true","true","false","false","true","true","false","true","false","false","false","false","true","false","true","false","false","true","false","true","true","true","false","false","false","true","false","false","true","false","true","false","false","true","true","false","true","false","false","true"
"true","false","true","false","true","true","true","false","true","true","false","false","false","false","false","false","true","true","true","true","false","true","true","true","true","false","false","true","false","false","true","true","false","true","true","false","true","true","false","false","false","false","true","false","false","true","true","false","false","false","false","false","true","false","false","false","false","true","true","false","false","false","true","true","false","false","true","true","true","false","true","true","true","false","true","true","false","true","true","true","false","true","true","true","false","false","true","false","false","true","true","true","true","false","true","true","true","true","false","true","true","true","true","true","true"
"true","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false"
"false","false","true","true","true","false","true","false","false","true","false","false","false","true","false","true","true","false","true","true","true","false","true","false","true","true","false","false","false","false","true","true","false","true","false","false","false","true","false","true","false","false","true","true","true","true","false","false","true","false","true","false","false","true","false","true","false","false","true","true","true","true","false","false","true","false","true","true","true","true","true","false","true","false","false","true","false","false","false","true","false","false","true","false","true","true","false","false","false","false","true","false","true","true","true","true","false","true","false","false","false","true","true","false","true"
"true","false","true","false","false","true","true","true","false","false","true","true","true","false","false","false","true","true","false","true","true","false","true","false","true","true","true","false","false","false","true","true","false","true","true","true","false","true","true","false","false","false","false","true","false","false","false","true","false","true","false","false","true","false","false","true","false","false","false","true","false","true","true","false","true","true","false","false","true","false","false","false","true","true","true","false","true","true","false","true","false","true","true","true","false","true","true","false","false","false","true","false","true","true","false","true","false","true","true","true","true","true","false","false","false"
"true","true","false","true","true","true","true","false","true","true","false","false","true","false","true","true","false","true","true","true","true","false","false","true","true","true","false","false","true","true","false","false","true","false","true","false","false","true","true","true","false","false","true","false","false","false","true","true","true","true","false","true","true","false","false","true","false","false","true","false","true","true","true","true","false","true","false","true","false","false","false","false","false","false","false","false","true","false","false","true","true","true","false","true","false","true","true","false","true","true","true","false","true","true","true","true","true","true","false","false","true","false","true","false","true"
"true","true","false","false","false","false","true","false","false","false","true","true","true","false","false","true","false","false","false","true","false","true","true","false","true","false","true","true","false","true","true","false","false","false","false","true","true","true","false","false","true","false","false","true","true","false","false","false","true","true","false","true","false","false","false","false","false","true","true","true","true","false","true","true","false","false","false","true","true","true","true","true","false","true","false","true","true","false","true","false","true","true","false","false","true","true","false","true","false","false","false","false","true","false","false","true","false","true","true","true","true","true","false","true","true"
"false","false","false","false","true","true","true","true","false","false","false","true","false","false","true","true","false","false","true","true","false","false","false","true","false","false","true","false","false","false","false","true","true","false","true","false","false","true","false","false","false","false","false","false","true","false","false","true","true","false","true","true","true","true","false","true","true","false","true","true","true","true","false","false","true","true","true","true","true","false","true","true","true","true","true","false","false","false","false","true","true","true","false","false","true","true","false","true","true","true","false","true","false","true","false","false","true","false","true","false","false","false","false","true","true"
"false","true","true","false","false","true","true","true","true","false","false","false","true","true","true","false","true","false","false","true","true","false","false","false","true","false","true","false","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","false","true","true","true","true","false","false","true","false","true","false","false","true","false","false","true","false","false","false","false","false","false","true","false","true","true","true","false","false","false","false","false","true","false","false","false","true","true","true","true","false","false","false","true","false","true","false","false","true","true","true","true","true","false","false","true","false","true","false","false","false","true"
"false","false","false","true","false","false","false","false","true","true","true","false","true","true","true","true","false","false","false","false","true","true","true","false","false","false","false","true","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","true","false","true","true","false","true","false","false","false","true","false","false","false","false","true","true","false","true","true","false","true","true","false","true","true","false","true","true","false","true","true","false","false","false","false","false","true","true","true","false","false","true","true","false","true","true","false","true","true","false","true","true","false","false","false","false","true","false","true","true","false"
"false","true","false","true","true","false","false","true","true","false","true","true","true","true","false","false","true","false","false","false","false","false","false","true","true","false","false","false","false","true","true","true","true","true","true","true","false","true","false","false","false","true","true","true","false","false","false","false","true","true","false","true","false","false","true","true","true","true","true","false","true","true","false","false","false","false","true","false","true","false","true","true","false","false","true","false","false","true","false","false","false","false","false","true","false","false","false","false","false","true","false","false","true","true","false","true","true","true","true","false","true","false","true","true","true"
"false","false","true","true","false","true","true","false","true","true","true","true","true","true","false","false","true","false","true","true","false","true","false","false","true","true","true","false","false","true","true","false","false","false","false","false","false","false","true","false","false","true","true","false","true","true","false","true","true","false","true","false","true","true","false","true","false","false","false","true","true","true","true","false","false","true","true","false","true","false","true","true","true","false","true","true","false","false","false","true","false","false","true","true","true","false","true","false","true","true","true","true","false","false","false","false","false","false","false","true","false","true","false","false","true"
"true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","false","true","true","true","true"
"false","true","true","false","true","true","true","true","true","true","false","false","false","false","true","false","false","false","true","true","true","false","true","true","true","false","true","false","false","true","false","true","true","true","true","true","false","true","false","false","true","true","false","true","false","true","false","true","true","false","false","false","true","false","true","false","false","true","false","true","false","true","false","false","false","true","false","true","false","false","false","true","true","false","true","true","true","false","true","false","true","false","true","false","false","false","true","true","true","true","true","true","false","false","true","true","false","true","false","true","true","false","false","false","true"
"true","true","true","false","false","true","true","true","true","true","false","false","true","true","false","false","false","false","true","false","true","true","false","true","true","false","false","false","false","false","true","false","false","true","true","true","false","false","true","true","true","true","true","true","true","false","false","true","true","false","false","true","true","true","false","true","true","true","false","false","false","false","true","true","true","false","true","false","true","true","true","false","false","true","true","true","true","true","false","false","true","false","true","true","false","true","false","false","true","false","false","true","true","false","true","false","false","false","true","false","false","false","false","true","false"
"true","false","false","false","true","true","true","true","true","false","true","false","false","true","false","true","false","false","false","true","false","false","false","true","true","true","true","true","true","true","false","false","true","false","true","false","false","true","false","true","false","true","true","true","true","true","false","true","false","true","false","true","true","true","true","false","true","true","true","false","false","false","true","false","false","true","false","true","false","true","false","false","true","false","true","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","true","true","false","true","false","false","false","true","false","false","false","false","false","false","true"
"false","true","false","false","true","false","true","true","false","false","false","false","false","false","false","false","true","true","false","true","true","true","true","false","false","false","false","true","true","true","false","true","true","false","false","false","true","true","true","true","false","false","false","true","true","false","false","true","false","false","true","true","true","false","false","true","true","false","true","false","true","true","true","false","false","false","false","false","false","true","false","false","false","true","false","true","true","true","true","true","false","false","true","false","true","true","true","true","true","true","true","true","false","true","false","false","false","true","false","false","true","false","true","true","false"
"true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","true","true","false","false","true","true","false","false","true","true","true","true","true","false","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","true","true","true","true","false","true","false","false","true","false","false","false","false","true","true","true","true","false","true","false","true","false","false","false","false","true","true","false","true","true","false","true","false","true","false","true","false","false","false","true","true","true","true","false","true","true","false","false","false","false","false","true","false","false","true","false","false","false","true","false","true"
"false","true","true","true","false","true","true","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false","false","false","true","true","true","true","true","false","false","true","true","false","false","true","false","false","false","true","true","true","false","false","true","false","true","true","true","true","false","false","false","true","false","true","true","false","false","true","true","true","true","false","false","false","false","false","true","false","true","false","false","false","true","false","false","true","false","false","true","true","false","false","true","true","false","true","false","true","true","true","true","true","true","true","false","false","true","true","true","true","false","false","false"
"false","false","false","true","false","true","true","true","true","false","true","false","false","true","false","true","true","true","true","false","true","true","false","true","false","false","true","false","false","false","false","false","true","true","false","false","false","false","true","true","true","false","true","false","true","true","false","true","false","true","false","false","true","false","true","true","false","false","true","false","true","true","false","true","false","true","true","false","false","false","true","false","false","true","false","true","false","false","false","false","true","false","true","true","false","true","false","true","true","false","false","false","true","true","false","false","false","false","false","true","true","false","true","false","true"
"true","false","false","false","true","true","false","true","true","true","true","true","false","true","true","true","true","false","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","true","true","true","false","true","true","true","true","false","false","true","true","false","false","false","false","true","true","true","true","true","true","false","true","false","false","false","false","false","true","true","true","false","true","true","false","false","false","false","true","false","true","true","true","true","true","false","false","true","true","false","true","true","true","true","false","true","false","false","true","false","false","true","true","true","false","true","false","false"
"true","true","false","false","false","false","true","true","false","true","true","true","false","false","true","false","true","false","false","true","true","false","false","false","false","true","false","true","true","false","true","false","false","true","false","true","true","true","true","true","true","false","false","false","false","true","true","false","true","true","true","true","false","true","true","false","false","true","true","false","false","false","false","true","true","true","true","false","true","false","false","false","false","false","true","false","false","true","false","false","true","false","false","false","false","true","true","true","true","false","false","true","false","true","false","true","false","true","false","true","false","false","false","true","true"
"false","false","false","true","false","false","false","false","false","true","true","false","true","false","false","false","true","true","true","true","false","true","true","true","false","true","false","false","false","true","false","true","false","false","false","true","true","false","true","false","true","true","false","false","true","false","true","true","true","true","true","true","true","false","false","false","false","true","true","true","false","true","false","false","false","false","true","true","true","false","true","false","true","false","true","true","false","true","false","true","true","false","false","false","true","false","false","false","true","false","false","false","false","false","true","false","true","true","false","false","true","false","false","false","false"
"false","false","false","false","false","true","true","false","true","true","true","false","true","false","true","true","false","false","true","true","true","true","true","false","false","false","false","true","true","true","false","false","true","true","false","false","false","false","true","false","false","true","false","true","false","false","false","false","true","true","false","true","true","true","true","false","false","true","false","true","true","true","false","true","false","false","true","false","true","false","true","false","false","false","false","true","true","false","true","true","false","true","false","true","false","true","false","false","true","true","false","false","true","true","false","true","false","true","false","false","false","true","false","false","false"
"false","false","true","false","true","true","true","false","false","true","true","true","false","true","true","true","true","false","true","true","true","false","false","true","true","true","false","true","false","false","true","false","true","false","false","true","true","false","true","false","false","false","true","false","true","true","true","false","false","true","false","true","false","false","false","false","false","false","false","false","true","false","false","false","true","true","true","false","false","true","false","true","false","false","false","false","true","true","false","false","true","false","true","true","false","false","false","true","true","false","true","true","true","true","true","false","false","true","false","false","true","false","true","true","false"
"false","false","false","false","false","false","false","true","false","false","true","false","true","true","true","false","true","true","false","true","false","false","true","false","false","false","false","false","true","true","false","false","false","false","true","true","false","true","false","false","false","true","false","true","false","false","true","false","true","false","true","true","true","true","true","true","false","true","false","false","false","true","false","false","false","true","false","true","false","true","true","false","false","false","true","true","true","true","true","false","true","false","false","false","true","true","false","true","false","false","false","false","true","false","true","true","false","false","false","false","true","false","true","true","false"
"true","true","false","true","false","true","false","true","false","true","false","false","true","true","true","false","true","false","false","false","false","false","false","true","true","false","true","false","false","false","true","false","true","false","false","false","true","false","false","true","false","false","false","false","true","false","false","false","false","false","true","true","true","true","true","true","false","true","true","true","false","true","true","true","true","true","true","false","true","true","false","true","true","true","false","false","true","false","true","true","true","true","false","false","false","false","true","false","false","true","true","false","false","false","true","true","false","false","false","true","true","true","false","true","false"
