"BB_FEATURE_INSMOD_OLD_KERNEL","BB_NFSMOUNT","BB_FEATURE_LS_FILETYPES","BB_KILL","_BB_INTERNAL_H_","MAX","DMALLOC","setbit","BB_FEATURE_LS_FOLLOWLINKS","BB_FEATURE_LS_USERNAME","__GLIBC__<2","BB_FEATURE_AUTOWIDTH","RB_POWER_OFF","BB_FEATURE_LS_RECURSIVE","NAJOR","BB_FEATURE_USE_TERMIOS","MIN","BB_SYSLOGD","BB_FEATURE_LS_SORTFILES","BB_INIT","BB_FEATURE_MOUNT_LOOP","BB_FEATURE_LS_TIMESTAMPS","BB_GUNZIP"
"false","true","true","true","true","false","true","true","false","false","false","false","true","true","false","false","true","true","false","false","false","true","true"
"false","true","false","true","true","true","false","false","false","true","false","true","false","true","false","true","true","true","false","false","true","false","true"
"false","true","true","true","false","true","true","true","false","false","false","false","true","true","true","true","true","false","false","true","false","false","false"
"false","false","true","true","true","true","true","true","true","false","false","false","false","false","false","false","false","false","true","true","true","true","true"
"true","false","false","false","false","true","true","true","false","true","true","true","true","false","true","true","true","true","true","true","false","false","false"
"true","true","true","true","true","true","true","true","true","false","false","true","false","true","false","true","false","true","true","false","true","false","false"
"false","false","true","true","true","false","true","false","true","false","false","true","false","true","false","false","true","false","true","false","false","false","true"
"true","false","false","true","true","true","false","false","false","true","true","false","true","false","false","false","false","false","true","false","false","false","false"
"false","false","false","true","false","false","false","true","false","false","true","true","true","false","true","false","false","false","true","false","false","false","false"
"false","true","false","false","true","false","false","false","false","true","false","true","true","false","false","true","true","false","true","false","false","false","false"
"true","false","true","false","true","false","true","true","true","true","true","false","true","false","false","true","true","true","true","true","true","false","true"
"true","false","true","true","true","false","false","false","true","true","false","false","false","true","true","true","false","true","true","true","false","false","false"
"true","true","false","false","true","false","false","true","false","true","true","false","false","false","false","false","true","false","false","false","true","true","false"
"false","false","false","true","false","true","true","true","true","true","false","false","true","false","true","false","true","false","false","false","true","true","false"
"true","true","true","false","true","true","true","true","false","false","false","false","true","false","false","false","true","false","true","false","false","true","true"
"false","false","false","true","false","false","true","true","true","false","true","true","false","false","true","true","true","true","true","false","true","true","true"
"true","true","false","false","true","false","false","false","false","false","true","false","false","true","false","false","true","true","true","true","true","false","false"
"true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"false","false","true","false","false","true","false","true","true","false","false","false","false","false","true","true","false","true","false","false","false","false","false"
"false","true","false","true","false","false","false","false","true","false","true","true","false","true","true","true","true","true","false","true","true","true","true"
"true","true","true","true","true","false","false","true","true","false","true","false","false","true","false","true","true","true","false","false","true","true","true"
"false","true","false","false","false","false","false","true","false","true","false","true","false","true","true","true","false","false","false","false","true","false","false"
"true","true","false","false","false","false","true","true","false","false","true","true","true","true","false","false","true","true","false","false","false","false","true"
"false","false","true","false","false","false","false","true","false","false","true","true","true","false","true","true","true","true","false","true","true","true","false"
"false","true","true","false","true","true","false","true","true","false","true","false","false","true","false","true","false","false","true","false","false","false","true"
"true","false","true","false","true","true","true","false","false","true","false","true","true","true","false","true","true","true","false","true","true","true","true"
"true","false","true","false","true","true","false","true","true","true","false","true","true","true","false","true","true","true","false","true","false","false","false"
"false","true","false","false","false","true","false","false","false","false","true","true","true","false","true","true","false","false","true","false","true","true","false"
"false","false","false","true","false","true","false","true","true","true","false","true","false","false","true","false","true","false","true","false","false","false","true"
"true","false","true","false","false","false","true","false","false","false","true","true","false","true","true","true","false","false","true","true","true","false","true"
"true","true","true","false","false","false","false","true","true","false","false","false","false","false","true","true","false","true","true","false","true","false","false"
"true","true","false","false","false","true","false","false","true","true","true","false","true","true","true","true","true","false","false","false","false","false","true"
"true","true","false","false","false","false","false","false","true","true","false","false","true","false","true","false","true","true","true","false","false","false","false"
"false","true","false","false","false","true","true","true","true","true","true","true","false","true","true","true","true","false","true","true","true","false","false"
"false","false","true","true","true","false","false","true","false","true","true","true","true","true","false","true","false","false","false","false","true","false","false"
"true","false","true","false","true","true","false","true","false","false","false","true","false","false","false","false","false","false","true","true","true","true","true"
"false","true","false","true","false","true","false","false","false","false","true","false","true","false","true","false","true","false","true","true","true","true","true"
"true","true","false","false","false","false","false","false","true","false","false","true","false","false","true","false","true","false","true","true","false","true","true"
"true","false","false","false","false","true","true","true","true","false","false","false","true","false","false","false","false","true","true","true","true","false","false"
"false","true","true","false","false","false","true","false","false","true","false","true","true","false","true","false","true","true","false","true","true","true","false"
"false","true","true","true","true","false","true","true","false","false","true","true","false","true","false","false","true","false","true","false","true","true","false"
"false","true","false","true","false","false","true","false","true","false","false","false","false","false","false","false","true","false","true","true","false","false","false"
"true","true","true","false","true","false","true","false","true","true","false","false","true","false","false","true","false","true","true","true","true","true","true"
"false","false","false","true","true","true","true","true","false","true","true","false","false","true","false","true","false","false","true","true","true","true","false"
"false","false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","true","true","true","false","true","false","false"
"false","true","true","true","false","true","false","true","true","true","true","true","true","false","true","false","true","true","false","false","false","false","false"
"true","false","false","true","false","false","false","false","false","false","true","false","true","false","false","true","true","false","false","false","true","false","true"
"false","false","false","true","false","false","false","true","false","false","true","false","true","false","false","true","true","false","false","true","false","false","false"
"true","false","true","false","true","true","false","true","false","true","true","true","false","true","true","false","false","true","true","false","true","true","false"
"false","true","true","false","true","true","false","false","false","true","true","true","false","true","true","false","true","false","true","true","false","true","false"
"true","true","true","true","false","false","false","true","false","false","false","true","true","true","true","false","true","false","false","false","true","true","false"
"false","false","false","true","false","false","false","false","false","true","false","false","true","true","true","false","false","true","false","false","false","true","false"
"false","false","false","false","false","true","false","false","false","false","false","true","false","false","false","true","true","false","false","true","false","true","false"
"false","false","false","false","false","false","true","true","false","true","true","false","false","true","false","false","true","true","false","false","true","false","false"
"false","true","false","true","false","true","true","true","true","true","false","true","true","false","false","true","false","true","false","false","true","true","true"
"true","true","true","false","false","false","true","true","false","false","true","false","true","false","false","false","false","false","true","true","false","false","false"
"false","true","false","false","false","false","true","false","true","true","true","true","false","false","false","false","false","true","false","false","false","true","false"
"true","true","true","false","false","true","true","false","true","true","false","false","false","true","true","false","true","true","false","true","true","true","false"
"true","true","false","false","true","true","false","false","true","true","false","true","true","true","false","false","false","false","true","false","false","true","false"
"true","true","false","true","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true","false","false","true","true"
"false","false","false","false","false","false","true","true","false","false","false","false","false","false","false","true","false","false","true","false","false","true","false"
"false","false","true","false","false","false","false","false","false","true","true","false","false","false","true","false","true","true","true","true","false","false","true"
"true","true","false","true","false","false","true","true","false","true","false","false","false","true","true","true","true","false","true","false","true","true","true"
"false","false","true","true","false","true","false","false","true","false","true","false","true","true","true","false","false","true","true","false","true","false","true"
"false","false","true","false","false","true","false","true","false","true","true","false","true","false","true","true","false","false","true","false","true","false","true"
"false","true","true","false","false","true","true","true","true","false","true","false","false","true","true","false","false","true","true","false","false","true","false"
"false","false","false","true","true","false","false","false","false","true","true","true","true","true","false","true","false","false","true","true","false","true","true"
"true","false","false","false","false","false","false","true","true","false","false","false","true","true","false","true","true","false","false","false","false","false","true"
"true","true","true","true","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false","false"
"false","true","true","true","true","false","false","false","true","true","true","true","false","false","false","false","false","true","true","false","true","true","true"
"true","true","true","true","false","true","false","false","true","true","false","true","true","false","true","true","true","false","true","false","true","false","true"
"false","true","true","true","false","true","true","false","false","true","false","true","true","true","true","false","false","false","true","true","false","false","true"
"false","false","true","true","false","true","true","false","false","true","true","true","false","false","true","true","false","false","true","true","true","true","false"
"true","false","false","true","false","true","false","false","true","true","true","false","false","false","false","false","false","true","false","true","false","false","true"
"false","false","true","true","false","true","true","true","false","true","false","true","true","false","false","false","true","false","false","true","true","false","false"
"true","true","true","false","false","false","false","false","true","true","true","false","false","false","true","true","false","false","false","false","false","true","false"
"true","true","true","false","false","false","true","false","true","true","true","true","false","false","false","true","false","true","false","true","true","false","false"
"false","false","true","true","false","false","true","false","false","false","false","true","true","true","false","true","false","true","false","false","true","true","false"
"false","true","false","false","false","false","false","true","true","false","false","true","true","true","false","false","false","false","false","false","true","true","true"
"false","true","true","false","false","false","true","false","false","false","true","false","false","true","false","false","false","false","false","true","false","true","true"
"true","true","false","true","false","true","false","true","true","false","true","false","true","true","false","false","false","true","false","false","true","true","false"
"false","true","false","true","false","true","false","true","true","false","false","false","false","true","false","true","false","false","false","true","false","true","false"
"true","false","false","false","false","true","false","false","false","true","false","false","true","true","false","false","true","true","false","true","true","false","true"
"true","false","false","true","false","false","false","true","false","true","true","true","false","false","false","false","false","false","true","true","true","false","true"
"false","true","true","true","false","true","false","true","false","false","false","true","false","false","false","false","true","true","true","true","true","false","true"
"true","false","true","true","false","true","false","false","true","true","false","true","false","true","true","true","false","true","false","false","true","true","false"
"true","false","true","false","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","true","true","true"
"false","false","true","false","false","false","false","false","true","false","false","false","true","false","false","false","true","false","true","false","true","false","true"
"false","false","true","false","false","true","true","true","false","false","true","false","true","true","false","true","true","false","true","true","true","false","false"
"false","true","true","true","false","false","true","false","false","false","true","true","true","true","false","false","false","true","true","false","true","false","true"
"true","false","false","true","false","false","true","false","true","true","false","true","true","true","false","true","false","false","true","false","false","false","true"
"true","true","true","true","false","true","true","false","true","false","false","false","true","false","false","true","true","true","true","false","false","true","false"
"true","false","true","true","false","true","false","true","false","false","false","false","true","true","true","true","false","false","true","true","false","true","true"
"false","false","false","false","false","true","true","false","true","false","true","true","true","true","false","false","true","true","true","true","false","true","true"
"true","false","true","true","false","false","true","true","false","true","false","false","false","false","false","false","false","true","false","false","false","true","true"
"false","false","true","false","false","true","true","false","true","true","true","false","false","false","false","true","true","false","false","false","true","true","true"
"false","false","true","true","true","true","false","false","false","true","false","false","true","true","false","false","true","false","true","false","true","true","false"
"true","true","true","false","true","false","false","false","false","true","false","false","true","true","false","true","true","false","true","true","false","true","true"
"false","true","true","false","false","true","false","true","false","false","false","true","false","true","false","false","true","false","false","true","true","true","true"
"false","true","false","true","false","false","false","true","false","true","true","false","true","false","false","true","true","true","true","true","false","true","true"
"false","false","false","true","false","false","false","true","true","true","false","true","false","true","false","true","false","true","true","false","false","false","false"
"true","false","false","false","false","true","false","false","true","true","true","false","true","true","false","true","false","false","true","true","true","false","true"
"false","false","true","true","false","true","false","false","true","true","true","true","false","true","false","false","true","true","false","true","true","false","false"
"false","false","true","false","false","true","true","true","false","true","false","true","false","true","false","false","false","true","true","false","true","false","true"
"true","true","true","false","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false"
"true","false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false"
"true","true","true","true","false","false","false","true","false","true","false","true","true","false","false","false","true","false","true","true","false","true","false"
"true","false","true","false","false","false","false","true","true","true","false","false","false","false","false","true","true","false","true","true","false","true","true"
"false","true","true","true","false","true","false","true","false","true","true","false","false","true","false","true","true","true","true","false","false","true","false"
"false","false","true","false","false","false","false","false","true","true","false","true","true","true","false","true","false","true","true","true","true","true","true"
