"CONFIG_SND_DYNAMIC_MINORS","CONFIG_SLUB","CONFIG_SND_VERBOSE_PROCFS","CONFIG_SND_PCM_OSS_MODULE","CONFIG_NUMA","CONFIG_SND_PCM_XRUN_DEBUG","CONFIG_SLOB","CONFIG_I2C_MODULE","CONFIG_PPC","CONFIG_DEBUG_OBJECTS","CONFIG_ALPHA","CONFIG_KMEMCHECK","CONFIG_I2C","CONFIG_OF","CONFIG_FAILSLAB","CONFIG_X86","CONFIG_I2C_BOARDINFO","CONFIG_DEBUG_SLAB","CONFIG_SND_PCM_OSS","CONFIG_PNP","CONFIG_SND_DMA_SGBUF","CONFIG_PM"
"true","true","false","true","false","false","true","false","false","false","false","true","true","false","false","true","true","true","true","false","true","true"
"true","false","true","false","false","true","true","true","true","true","false","false","false","false","false","false","true","false","true","false","false","false"
"true","false","false","false","true","true","false","true","true","true","true","true","false","true","true","true","true","false","true","true","true","false"
"false","true","true","true","false","true","true","true","false","true","true","false","false","false","true","false","false","false","true","false","true","false"
"false","false","true","false","false","true","true","false","false","false","false","false","true","false","false","true","false","false","true","true","true","true"
"true","true","false","false","false","false","true","true","false","true","true","true","false","false","true","false","true","false","false","true","true","false"
"false","true","true","true","true","false","false","true","true","false","false","true","false","true","true","true","false","false","true","false","false","true"
"true","false","false","true","true","true","false","false","false","false","true","false","true","true","false","true","false","false","true","true","false","true"
"true","false","true","true","true","false","false","false","true","false","false","false","true","false","true","true","true","true","true","true","false","false"
"true","false","true","true","false","false","true","true","false","true","false","false","false","false","true","true","true","true","true","false","true","true"
"false","true","true","false","true","true","false","true","false","true","true","false","false","true","true","false","false","false","false","true","false","true"
"true","false","false","true","true","false","false","true","false","true","false","true","false","false","true","true","false","false","true","true","true","true"
"true","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true"
"true","true","false","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false","true","false"
"false","false","false","true","false","false","false","false","true","true","true","false","true","true","true","true","false","false","false","false","true","true"
"false","false","false","false","true","true","true","true","false","false","false","true","false","false","false","false","true","true","true","true","false","false"
"false","false","true","true","false","false","false","false","false","false","true","true","true","true","false","false","false","true","true","true","false","false"
"false","true","false","false","true","true","true","false","false","true","true","true","true","true","true","false","false","true","false","false","true","false"
"false","false","true","true","true","true","true","false","true","false","true","false","true","false","false","false","false","false","false","true","false","false"
"false","true","false","false","true","false","true","true","false","false","false","false","false","false","false","false","true","true","false","true","true","true"
"false","false","false","true","false","true","false","false","true","false","false","true","true","true","false","true","false","true","false","false","true","false"
"true","true","true","false","false","false","false","false","false","true","true","true","true","true","false","true","true","false","false","true","true","false"
"false","true","false","true","true","true","true","true","true","true","true","true","false","false","false","true","true","true","false","true","false","false"
"false","false","false","true","false","false","false","false","false","true","true","false","true","false","false","false","true","true","true","true","false","true"
"false","false","false","true","false","false","false","true","true","true","false","true","false","false","true","false","true","true","false","false","true","false"
"false","false","true","false","false","true","false","true","false","true","true","true","false","true","false","true","false","false","false","false","true","true"
"false","false","false","false","true","true","true","false","true","false","true","false","true","true","true","true","true","false","false","true","true","true"
"true","true","true","true","true","true","true","false","true","false","false","true","true","true","true","false","false","false","true","false","false","false"
"false","false","true","false","true","false","true","false","true","true","true","false","true","true","false","true","false","true","true","true","false","false"
"true","true","false","false","false","true","false","true","false","false","true","false","false","false","true","true","false","true","false","false","true","true"
"false","true","true","false","true","false","false","true","false","true","true","false","true","false","false","true","false","true","true","false","true","false"
"false","true","false","false","false","false","true","true","true","true","false","true","true","true","false","false","false","false","true","true","true","true"
"false","false","true","true","true","true","false","true","false","true","false","true","true","false","true","false","true","false","true","false","true","true"
"false","true","false","true","true","false","false","true","true","false","true","true","true","true","false","false","true","false","false","false","false","false"
"true","false","false","false","false","true","true","true","false","false","true","false","true","true","true","false","false","true","true","true","false","true"
"true","false","true","true","false","false","true","true","false","false","false","true","true","true","false","false","false","true","false","false","true","false"
"true","false","true","false","false","true","true","true","false","false","true","true","true","false","false","false","true","true","false","true","true","false"
"true","true","false","false","false","true","true","true","false","true","true","true","true","false","false","false","false","false","true","true","false","false"
"true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true","true"
"false","false","true","false","false","true","false","true","true","false","true","true","true","false","true","false","false","true","false","false","false","true"
"true","true","true","false","true","true","true","true","false","false","false","false","true","true","true","true","false","false","false","true","false","false"
"false","false","false","false","false","false","false","true","false","false","false","false","true","true","true","false","true","false","false","true","false","true"
"true","false","false","false","true","false","true","true","false","true","false","true","true","false","true","true","false","true","false","false","false","true"
"true","true","true","true","false","true","false","true","true","false","true","false","true","false","false","true","true","false","true","true","true","true"
"true","true","true","true","true","false","true","true","true","true","false","false","true","false","false","true","false","true","false","false","false","true"
"true","true","false","true","false","true","false","true","false","true","false","false","true","true","true","false","true","false","false","false","false","false"
"true","false","false","true","true","false","true","true","true","false","true","false","true","true","true","true","true","false","true","false","false","true"
