# ACTS Test Suite Generation: Sun Mar 04 21:53:00 CST 2018
#  * represents don't care value 

# Degree of interaction coverage: 4
# Number of parameters: 66
# Maximum number of values per parameter: 2
# Number of configurations: 112
# ****************************************************
UINT_MAX==ULLONG_MAX,WANT_PIDFILE,ULONG_MAX==ULLONG_MAX,ENABLE_FEATURE_ADDUSER_TO_GROUP,BYTE_ORDER==LITTLE_ENDIAN,ENABLE_FEATURE_TOP_SMP_PROCESS,ENABLE_LFS,HAVE_STRCHRNUL,COMM_LEN,ENABLE_FEATURE_BUFFERS_GO_IN_BSS,HAVE_SETBIT,ENABLE_FEATURE_PREFER_APPLETS,ENABLE_FEATURE_SEAMLESS_LZMA,ENABLE_FEATURE_IPV6,ENABLE_FEATURE_UTMP,ENABLE_FEATURE_SEAMLESS_BZ2,ENABLE_LONG_OPTS,ENABLE_FEATURE_EDITING,ENABLE_FEATURE_SEAMLESS_GZ,HAVE_STRSIGNAL,UINT_MAX==0xffffffff,HAVE_FDATASYNC,MIN,HAVE_MKDTEMP,ENABLE_FEATURE_CHECK_NAMES,BB_PLATFORM_H,HAVE_STRSEP,ENABLE_PMAP,ENABLE_FEATURE_DEVFS,LIBBB_H,MAX,BB_BIG_ENDIAN,HAVE_CLEARENV,TASK_COMM_LEN,ENABLE_SELINUX,HAVE_MEMRCHR,ENABLE_USE_BB_PWD_GRP,ENABLE_FEATURE_TOPMEM,ENABLE_FEATURE_PIDFILE,ENABLE_FEATURE_INDIVIDUAL,ENABLE_NOMMU,BB_MMU,i386,BYTE_ORDER==BIG_ENDIAN,HAVE_SIGHANDLER_T,BUILD_INDIVIDUAL,PATH_MAX,ENABLE_FEATURE_GETOPT_LONG,HAVE_XTABS,MAX_HISTORY,ENABLE_FEATURE_BUFFERS_GO_ON_STACK,HAVE_STRCASESTR,ENABLE_ROUTE,ENABLE_DESKTOP,ENABLE_FEATURE_DEL_USER_FROM_GROUP,ENABLE_LOCALE_SUPPORT,BYTE_ORDER,ENABLE_FEATURE_PS_ADDITIONAL_COLUMNS,ENABLE_USE_BB_CRYPT,ENABLE_IOCTL_HEX2STR_ERROR,ENABLE_FEATURE_HWIB,UINT_MAX==ULONG_MAX,HAVE_VASPRINTF,HAVE_MNTENT_H,ULONG_MAX>0xffffffff,BUFSIZ
false,false,false,true,false,true,true,true,true,false,true,false,false,true,false,true,true,true,true,false,true,true,false,true,false,false,true,false,false,false,false,false,true,true,false,false,false,false,true,true,true,false,true,false,true,true,false,true,false,true,false,false,true,false,true,true,false,false,true,false,true,true,false,true,false,true
false,true,false,false,false,true,false,false,true,true,false,false,false,false,true,true,false,true,true,true,false,false,true,false,true,false,true,true,true,true,true,true,false,true,false,false,true,true,true,false,false,true,false,false,false,false,true,false,true,false,true,true,false,true,false,true,true,true,false,true,false,false,true,false,true,false
true,true,true,true,true,false,false,false,true,true,true,true,false,false,false,false,false,true,false,true,true,true,true,true,true,true,true,false,false,false,false,false,true,false,true,true,false,false,false,false,true,false,false,true,true,true,true,true,false,false,true,false,false,true,false,true,true,true,false,false,true,false,true,false,false,false
true,false,true,false,true,false,true,false,true,false,true,true,false,true,false,true,false,true,false,false,false,false,true,false,false,true,false,true,true,true,true,true,false,false,false,true,true,false,false,true,false,true,false,false,true,false,true,false,false,true,false,false,true,true,true,true,false,false,true,false,false,true,false,true,true,true
true,true,false,true,false,false,true,false,false,false,false,true,true,false,false,true,true,true,true,false,true,true,false,false,false,true,true,true,true,true,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,false,false,false,false,false,true,true,true,true,true,false,false,false,false,true,false,true,true,false,false,false
false,false,false,false,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,true,false,true,true,true,true,true,false,true,true,false,true,false,false,true,false,false,false,false,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,false,false,false,true,true,false,true,true,true,false,true,true,false
true,false,false,true,true,true,true,false,false,true,true,false,false,false,true,false,false,false,false,true,true,true,false,true,false,false,true,false,true,true,true,true,false,true,false,true,true,false,false,false,false,false,true,false,true,true,false,true,true,true,false,true,false,false,true,false,true,false,true,true,false,false,true,false,true,true
true,false,true,false,false,true,true,true,true,true,false,false,false,false,false,false,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,true,true,true,true,true,true,true,true,true,false,true,false,false,false,true,false,false,true,false,true,true,true,false,false,false,false,false,true,false,true,false,true,true,false,true
false,true,false,true,true,false,false,true,true,false,true,true,true,true,false,false,true,false,false,false,false,false,false,true,true,false,false,false,false,true,true,true,true,true,true,true,false,true,false,false,false,true,true,true,false,false,false,false,true,true,false,true,false,false,true,true,true,true,true,false,true,true,false,false,false,false
false,false,true,true,false,false,false,false,false,false,true,true,true,true,false,false,false,true,true,true,false,false,false,false,true,false,true,false,true,false,false,true,true,true,false,false,true,true,true,true,true,false,false,true,false,true,false,true,true,false,false,true,true,true,false,true,false,true,true,true,false,false,false,true,true,true
true,false,false,false,true,true,false,true,true,true,true,true,false,true,true,true,true,false,true,true,true,false,false,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,true,false,true,true,true,true,false,false,true,true,false,false,false,false,true,true,true,true,true,true,false,true,false,false,false,false,false,true
false,true,false,false,true,true,true,false,false,true,true,true,true,true,true,false,false,true,false,false,true,false,true,true,false,true,true,false,false,false,false,false,false,false,true,false,false,true,false,true,false,false,true,false,true,true,false,false,false,true,true,true,false,false,false,true,false,true,false,false,false,true,true,true,true,false
false,true,true,false,false,false,true,false,true,true,true,false,false,true,true,false,true,true,false,true,false,true,false,true,true,false,false,true,false,true,true,false,false,false,true,true,false,true,false,false,true,false,false,false,true,false,false,true,true,false,true,false,true,true,true,false,false,false,true,true,true,true,false,true,false,true
true,false,false,false,true,false,true,true,false,true,false,true,true,false,true,true,false,true,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,true,false,true,true,false,false,true,false,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,false,false,false,false,true,true,false,false,true,true
true,true,true,true,false,true,false,true,true,false,true,false,true,false,false,true,true,false,true,true,true,true,true,false,false,true,false,false,true,true,true,false,false,false,false,true,true,false,true,false,false,false,false,true,true,true,false,false,false,true,true,true,false,false,true,true,true,false,false,false,false,false,false,true,true,false
true,false,false,false,false,false,false,false,true,false,false,true,false,false,true,true,true,false,false,true,true,false,false,true,true,true,true,true,false,true,true,false,true,false,true,false,true,true,false,true,false,true,false,true,true,true,true,true,false,true,false,false,true,false,false,false,false,true,true,true,true,false,true,false,true,false
false,true,true,true,false,true,true,true,false,true,true,false,false,false,true,false,false,false,true,false,true,false,false,false,true,true,true,true,true,false,false,true,true,false,false,true,false,false,false,true,true,true,false,false,true,false,true,true,true,true,false,false,false,true,false,true,true,false,false,true,true,true,true,false,false,false
true,true,true,true,true,false,true,true,true,true,false,false,true,false,false,true,false,true,false,false,false,true,true,true,false,false,true,false,true,false,true,true,false,false,true,false,false,true,true,false,true,true,true,false,false,true,true,true,false,true,false,false,true,false,false,false,true,true,true,true,true,false,false,true,true,true
true,true,true,false,true,true,false,false,false,false,false,true,false,true,true,true,true,true,true,false,true,true,true,true,true,false,false,true,false,false,false,true,false,true,true,true,false,false,true,false,false,false,false,false,false,true,true,false,true,true,false,true,true,true,true,false,true,true,true,false,false,false,true,false,false,false
false,false,true,false,false,true,true,false,false,false,false,false,true,false,false,true,false,false,true,true,true,true,true,true,false,true,true,true,false,true,false,false,true,true,false,true,false,true,false,false,true,true,true,true,false,false,true,false,false,false,true,false,false,true,true,true,false,true,true,false,true,false,true,false,true,true
false,false,true,true,true,true,true,false,true,false,true,false,true,false,false,false,false,false,false,true,false,false,false,false,false,true,false,true,false,false,true,false,true,true,true,false,false,false,true,true,false,true,false,false,false,true,true,true,true,false,true,true,true,true,true,false,true,false,false,true,false,true,false,true,false,false
false,false,false,false,true,false,false,false,true,true,false,true,false,false,false,true,false,false,true,false,false,true,false,true,false,true,false,false,true,false,false,true,true,false,true,false,true,false,true,true,true,false,true,true,true,false,false,false,true,true,true,false,false,true,true,true,false,true,false,true,false,false,true,true,false,true
true,false,true,false,false,false,false,false,false,true,true,true,false,true,true,false,true,true,true,false,false,false,true,false,false,true,true,false,false,true,true,false,true,true,true,false,false,false,true,false,true,true,true,true,false,true,false,false,false,true,false,false,false,false,false,false,true,false,true,false,false,true,true,true,false,true
false,true,false,false,true,false,true,true,false,false,false,false,false,false,false,false,true,true,false,true,true,true,true,false,false,false,false,true,true,true,false,true,true,false,false,false,true,true,true,true,false,false,false,true,true,false,false,true,false,false,true,true,true,false,false,true,true,false,true,false,true,true,true,false,false,false
true,false,false,false,false,true,true,true,false,false,true,false,true,true,true,false,false,true,true,true,false,true,true,false,true,false,false,false,true,true,true,true,false,false,true,true,true,true,false,false,true,false,true,false,false,true,true,false,false,false,false,false,false,true,false,true,false,true,false,false,true,true,true,false,false,false
true,true,false,false,false,false,true,true,false,true,true,true,false,false,true,false,true,false,false,true,true,false,false,false,false,true,false,true,true,false,true,false,false,true,false,true,true,true,true,true,true,false,false,false,false,true,true,false,true,true,true,true,false,true,true,false,false,true,true,false,false,false,false,true,true,true
false,false,false,true,false,true,false,false,true,false,false,true,true,true,false,true,false,true,false,false,true,false,true,true,true,false,true,true,true,true,true,false,false,false,false,true,false,false,true,false,false,false,true,false,true,false,false,true,true,false,true,false,true,true,false,false,true,false,false,true,false,false,false,false,true,true
true,true,false,true,false,true,false,true,false,true,false,false,true,true,true,false,true,false,false,false,false,false,false,true,true,false,true,false,false,false,true,false,true,false,false,false,true,false,false,true,false,false,false,false,true,false,false,false,false,false,true,true,true,true,true,true,false,true,true,true,false,true,true,true,true,true
false,true,true,true,true,false,false,true,true,false,false,true,false,true,true,true,false,false,true,false,false,true,false,false,true,true,true,false,false,true,true,false,false,true,false,false,true,true,false,true,true,false,false,false,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,false,true,false,true,true,true,false
true,true,true,false,false,false,false,false,false,true,true,true,true,true,false,true,true,false,false,true,true,false,false,true,false,false,true,true,true,false,false,true,false,true,false,true,true,false,false,false,true,true,true,false,true,true,true,true,true,false,true,false,true,false,false,true,false,false,false,false,true,true,false,true,false,false
false,true,false,true,true,true,true,true,true,true,true,true,false,false,false,true,true,true,false,true,false,false,true,false,true,false,false,true,false,false,false,false,false,false,true,false,true,false,false,false,false,true,true,true,false,true,false,false,false,true,false,false,false,true,true,false,true,false,true,false,true,false,true,true,true,false
true,false,false,true,true,true,false,false,false,false,true,false,true,true,false,true,false,false,true,true,false,true,false,true,true,true,true,true,true,false,false,true,false,false,true,false,false,true,true,true,false,true,false,true,true,false,false,false,true,false,false,false,true,false,true,false,true,false,false,false,false,true,false,false,true,true
false,false,false,true,false,false,false,false,false,true,true,false,true,false,false,false,true,true,true,true,false,true,true,true,false,true,false,false,false,true,false,true,false,false,false,true,true,false,true,false,true,true,false,false,true,false,true,true,true,true,true,true,true,false,false,false,false,true,true,true,false,true,false,false,false,false
false,false,false,true,false,false,false,true,true,true,false,true,false,false,true,false,true,true,false,false,true,false,false,false,true,true,false,false,true,true,false,true,false,true,true,false,false,false,true,true,true,false,true,true,false,true,true,true,true,false,false,true,false,false,true,true,false,false,false,true,true,true,false,false,true,true
true,true,false,false,false,true,false,false,true,false,true,false,false,true,false,false,false,true,true,false,true,false,true,true,false,true,false,false,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,true,false,false,true,true,false,true,true,true,true,true,false,false,true,false,true,true,true,false,false,true,true,false
false,false,true,false,false,true,false,true,false,true,true,true,false,true,false,true,false,false,false,false,true,true,true,false,true,true,true,true,true,true,false,false,true,true,true,false,false,true,false,false,false,false,true,false,true,true,false,true,false,false,true,true,true,false,true,true,true,true,true,true,false,false,false,true,false,false
true,false,true,true,true,false,false,false,true,false,false,false,true,false,true,true,true,true,true,true,false,false,false,true,true,false,false,false,true,true,false,false,true,false,false,true,false,true,true,true,false,false,true,false,true,true,false,false,false,true,false,false,false,true,false,true,false,true,false,true,false,false,true,false,false,true
true,false,true,true,false,false,true,true,false,false,false,true,true,true,false,false,false,true,false,false,true,false,true,true,false,true,false,false,false,true,true,false,true,false,false,false,true,true,true,false,true,true,false,true,true,false,false,false,true,true,true,false,false,false,true,true,true,true,false,true,true,false,true,false,false,true
false,false,false,false,true,true,true,false,true,false,true,false,true,true,true,true,true,false,false,true,true,true,false,false,false,false,true,true,false,true,true,true,false,true,false,true,false,true,false,true,true,true,false,true,false,true,false,false,false,false,false,true,false,false,false,false,true,true,false,true,false,false,true,true,false,true
false,true,false,true,false,true,false,false,false,true,false,true,false,false,false,false,true,true,true,false,false,true,false,false,false,false,true,true,false,false,true,true,true,false,true,true,true,false,false,true,true,true,true,true,true,true,true,false,false,false,false,false,true,false,false,true,true,true,true,false,false,true,false,false,true,true
true,true,true,true,true,true,true,false,true,false,false,true,true,true,true,false,false,false,true,false,false,false,true,true,false,false,false,true,true,true,false,false,false,true,false,false,false,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,false,true,false,true,false,false,true,false,false,true,false,false,false,false
true,false,true,true,false,false,true,true,false,false,false,false,false,false,true,true,true,true,true,false,true,true,false,false,true,false,false,true,false,false,true,true,true,false,false,false,true,false,false,false,false,true,false,false,false,false,false,true,true,true,true,false,false,true,true,true,true,true,false,false,true,true,false,true,true,false
false,true,false,false,false,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,true,true,true,false,false,true,true,false,true,false,true,true,true,true,false,true,false,false,true,false,true,true,true,true,false,false,false,false,false,true,true,true,false,false,true,false,true,true,true,true,true,false,true
false,true,true,true,true,true,false,true,false,true,true,false,false,true,true,false,false,false,false,true,false,true,true,false,false,false,true,true,true,true,true,false,true,false,true,false,false,true,true,true,true,false,true,false,false,false,false,false,true,true,false,false,true,true,false,true,false,false,false,false,true,false,false,false,true,true
true,false,true,false,false,true,true,true,false,false,true,true,true,false,false,false,true,true,false,true,true,false,true,false,true,true,true,false,false,false,true,true,false,true,true,true,false,true,true,false,false,false,false,true,false,false,false,true,false,true,false,false,true,false,false,true,false,false,false,true,false,true,true,false,true,true
false,true,true,false,true,false,true,false,true,true,false,true,false,false,true,false,true,true,false,false,true,true,false,true,false,true,true,true,false,false,true,true,false,true,false,false,true,false,true,false,false,false,true,true,false,false,true,false,true,false,false,true,true,true,false,true,true,false,true,true,true,true,false,true,false,false
true,true,false,false,false,false,false,true,false,true,true,true,true,true,false,false,false,false,true,true,false,false,true,false,false,true,false,true,true,true,false,false,true,false,false,true,false,false,false,false,false,false,false,false,false,true,false,true,true,false,false,false,true,false,true,false,true,true,true,true,true,true,true,true,true,true
true,false,false,true,true,false,true,true,true,false,true,false,false,true,true,true,true,false,true,false,false,true,false,true,true,false,true,true,true,false,false,true,false,true,false,true,false,true,false,false,true,false,false,true,false,true,true,false,true,true,true,true,true,true,false,false,true,false,false,false,false,false,true,true,true,false
true,false,false,true,true,false,false,true,false,true,false,true,false,true,false,true,false,false,true,true,true,true,true,true,true,false,false,false,true,false,true,false,true,true,true,true,true,true,true,false,true,true,false,false,false,false,false,true,false,false,true,true,false,false,false,false,false,false,true,false,false,true,true,false,false,false
false,false,true,true,false,false,true,false,true,true,true,false,true,false,true,true,false,true,true,false,false,false,false,true,false,true,true,false,false,true,true,true,false,false,true,true,true,true,false,true,true,true,true,false,false,false,false,true,true,false,true,true,false,true,true,false,true,true,false,false,true,true,false,false,false,false
false,true,true,false,true,true,false,true,true,false,false,false,true,true,true,true,true,true,false,true,true,false,false,false,false,false,true,false,true,false,true,true,true,true,true,true,false,false,false,true,true,false,false,true,true,false,true,true,false,true,true,false,false,false,true,false,false,true,true,false,false,false,false,false,false,false
true,true,false,false,true,true,false,true,true,false,true,false,true,false,true,false,true,true,false,false,false,true,true,false,true,true,true,true,false,true,false,true,false,false,false,false,false,true,false,true,false,true,true,false,true,true,true,true,true,false,true,false,false,false,true,true,false,false,true,true,false,false,true,false,false,true
false,false,false,false,true,false,true,true,true,false,false,true,true,false,false,true,false,false,false,true,false,false,true,false,false,true,true,false,true,false,true,false,true,false,false,true,true,true,true,true,true,false,false,false,true,true,true,false,false,true,false,true,true,true,false,true,true,false,true,true,true,true,true,true,false,false
true,true,true,false,false,false,true,false,false,false,true,false,false,true,false,false,false,true,true,true,false,true,false,true,false,true,true,false,true,false,true,false,true,true,true,false,true,true,false,true,false,true,true,true,false,true,true,true,true,true,false,true,false,false,true,true,false,true,false,true,false,false,true,false,true,true
false,true,true,true,true,true,false,false,true,false,true,true,true,false,false,false,false,true,true,true,true,true,true,true,false,false,false,true,false,false,false,true,false,false,false,false,true,true,true,true,true,false,true,false,false,false,false,false,false,true,false,true,false,false,true,false,false,true,false,true,true,true,false,true,true,true
true,true,true,false,false,true,true,true,true,true,false,false,true,true,false,false,false,false,true,false,true,true,false,true,true,false,false,false,false,false,true,false,false,true,true,true,false,false,true,true,true,true,true,true,true,false,false,true,true,false,false,true,true,true,false,true,true,true,false,false,false,false,true,true,true,false
true,false,true,true,true,true,true,false,false,true,true,true,false,false,true,false,true,true,false,true,false,true,true,false,true,true,false,true,true,true,false,false,false,true,true,false,true,false,true,true,false,false,false,true,true,false,false,false,false,false,true,false,true,false,true,false,true,true,false,false,true,false,false,false,false,false
false,true,false,false,false,false,true,false,true,true,false,false,true,false,false,false,false,false,true,false,true,true,false,false,true,true,true,true,true,false,true,false,true,false,false,true,false,true,false,false,false,false,true,true,false,true,true,true,false,true,true,true,false,false,true,false,false,false,false,false,false,true,false,true,false,true
true,false,true,true,true,false,true,true,false,true,false,false,false,false,false,true,true,false,true,false,true,false,false,false,false,false,true,false,true,true,false,true,true,true,true,true,false,false,true,false,false,true,false,false,true,false,true,false,true,true,false,false,false,true,false,true,true,true,true,true,true,false,false,true,true,false
false,false,true,false,true,true,true,false,false,true,true,true,false,true,true,true,true,false,true,true,true,false,false,true,true,true,false,true,false,false,true,false,true,false,false,true,true,false,true,false,false,false,true,false,true,true,true,false,false,true,false,true,false,false,false,false,false,false,false,false,true,false,false,false,true,true
true,true,false,true,false,false,false,false,false,false,false,true,false,false,true,true,false,false,false,true,false,true,true,false,true,false,false,false,false,true,true,false,true,true,true,false,false,true,false,true,true,true,true,false,true,true,false,false,true,true,true,false,true,true,true,false,true,false,false,false,false,false,false,true,false,true
true,false,false,true,true,false,false,true,true,true,true,false,false,true,true,false,true,true,false,true,true,false,true,true,true,false,false,false,false,false,true,true,true,false,false,false,false,false,false,false,true,true,false,false,false,false,false,false,false,false,true,true,true,true,true,true,false,false,false,true,true,false,true,true,true,false
false,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,false,true,false,false,false,false,true,false,true,true,false,false,false,true,false,false,true,true,false,true,false,false,true,false,true,false,false,false,false,false,false,true,false,true,true,false,true,false,false,true,true,true,true,false,false,false,true,true,true,true
true,false,true,false,false,true,false,true,true,true,false,true,true,true,true,true,true,false,true,false,false,true,true,false,true,true,true,false,true,false,false,true,false,false,false,true,true,false,false,true,true,false,true,true,false,true,false,false,true,true,false,false,false,true,false,false,true,false,true,true,true,true,true,false,false,false
false,false,true,true,false,true,false,true,true,false,true,true,true,true,false,false,true,true,true,true,true,false,true,true,false,false,true,true,true,true,true,true,true,false,true,false,true,false,false,false,false,true,true,true,false,true,true,false,true,false,false,false,false,true,false,false,false,true,false,false,false,true,true,true,false,true
false,true,true,false,true,false,false,false,false,false,true,false,true,true,false,true,true,true,false,false,true,false,false,false,false,false,true,true,true,true,true,false,false,false,true,true,false,true,true,true,true,true,true,true,true,true,true,true,true,false,true,true,false,true,true,false,false,true,true,true,true,true,true,false,true,false
false,false,false,false,true,true,true,true,false,false,false,true,false,false,true,true,false,false,true,true,false,false,false,true,false,false,true,false,false,false,false,true,true,false,true,false,false,true,false,false,false,false,false,false,true,false,false,true,true,false,true,true,true,true,false,true,true,false,true,true,true,true,false,false,true,true
true,true,false,true,false,false,false,true,true,true,true,false,true,false,false,true,true,false,true,true,false,true,true,true,false,true,false,true,false,false,true,false,false,true,true,false,true,false,false,false,false,true,false,false,true,false,true,true,false,false,false,false,false,false,true,true,false,true,true,false,true,false,false,false,false,true
false,true,false,true,true,true,false,false,false,true,false,false,false,true,false,false,false,false,false,true,true,true,false,true,true,false,true,false,true,true,false,false,false,true,false,false,true,false,true,true,true,true,false,true,false,true,true,true,true,true,true,false,true,false,true,true,false,false,true,false,true,false,true,true,true,false
true,false,false,true,true,true,false,false,false,false,false,false,false,true,true,false,true,true,false,false,true,false,true,false,false,true,true,true,false,true,false,false,true,false,false,true,true,true,true,false,false,false,true,true,false,true,true,true,false,false,false,true,true,true,true,true,true,false,false,true,true,true,false,true,false,true
